id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/hide_char_id,characters/0/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
d_nikke_yuni_05_1,d_nikke_yuni_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_05_1,True,neon,1,idle,anis,13,worry,mihara,15,idle,NikkeCorridor,113,113,1.0,bgm_story_whosdumber,,,,,,,,,
d_nikke_yuni_05_2,d_nikke_yuni_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_05_2,True,,1,idle,,13,worry,,15,idle,,113,113,1.0,,,,,,,,,,
d_nikke_yuni_05_3,d_nikke_yuni_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_05_3,True,,1,idle,,13,worry,,15,idle,,113,S_10,1.0,,,,,,,,,,
d_nikke_yuni_05_4,d_nikke_yuni_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_05_4,True,,1,idle,,13,no,,15,idle,,S_10,130,1.0,,,,,,,,,,
d_nikke_yuni_05_5,d_nikke_yuni_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_05_5,True,,1,idle,,13,no,,15,idle,,130,113,1.0,,,,,,,,,,
d_nikke_yuni_05_6,d_nikke_yuni_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_05_6,True,,1,idle,,13,worry,,15,idle,,113,113,1.0,,,,,,,,,,
d_nikke_yuni_05_7,d_nikke_yuni_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_05_7,True,,1,idle,,13,worry,,15,idle,,113,113,1.0,,,,,,,,,,
d_nikke_yuni_05_8,d_nikke_yuni_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_05_8,True,,1,idle,,13,worry,,15,idle,,S_10,S_10,1.0,,,,,,,,,,
d_nikke_yuni_05_9,d_nikke_yuni_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_05_9,True,,1,idle,,13,angry,,15,idle,,130,130,1.0,,,,,,,,,,
d_nikke_yuni_05_10,d_nikke_yuni_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_05_10,True,,1,idle,,13,worry,,15,idle,,130,130,1.0,,,,,,,,,,
d_nikke_yuni_05_11,d_nikke_yuni_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_05_11,True,,1,idle,,13,worry,,15,idle,,S_10,S_10,1.0,,,,,,,,,,
d_nikke_yuni_05_12,d_nikke_yuni_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_05_12,True,,1,idle,,13,worry,,15,idle,,130,130,1.0,,,,,,,,,,
d_nikke_yuni_05_13,d_nikke_yuni_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_05_13,True,,1,idle,,13,worry,,15,idle,,S_10,S_100,3.0,,,,,,,,,,
d_nikke_yuni_05_14,d_nikke_yuni_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_05_14,True,,1,idle,,13,worry,,15,idle,,S_100,S_100,1.0,,,,,,,,,,
d_nikke_yuni_05_15,d_nikke_yuni_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yuni_05_15,False,,1,idle,,13,worry,,15,idle,,S_100,S_100,3.0,,,,,,,,,,
d_nikke_yuni_05_16,d_nikke_yuni_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yuni_05_16,True,,1,idle,,13,worry,,15,idle,,S_100,15,1.0,,,,,,,,,,
d_nikke_yuni_05_17,d_nikke_yuni_05,Speech,mihara,mihara,Locale_NikkeEpisode:d_nikke_yuni_05_17,True,,1,idle,,13,worry,,15,idle,,15,15,1.0,,,,,,,,,,
