id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/4/hide_char_id,play_sound,characters/3/hide_char_id
event_lastkingdom2_01_s_1,40046,event_lastkingdom2_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_01_s_1,False,kilo,1,idle,marian_q,13,sad2,crown,15,idle,hongryeon,3,idle,snowwhite,5,idle,CrownCastleFrontYard_d,S_100,S_100,1.0,bgm_story_thepilgrimacv,,,
event_lastkingdom2_01_s_2,40046,event_lastkingdom2_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_01_s_2,True,,1,idle,,13,sad2,,15,idle,,3,idle,,5,idle,,S_100,S_10,1.0,,,,
event_lastkingdom2_01_s_3,40046,event_lastkingdom2_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_01_s_3,False,,1,idle,,13,sad2,,15,idle,,3,idle,,5,idle,,S_10,S_10,1.0,,,,
event_lastkingdom2_01_s_4,40046,event_lastkingdom2_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_01_s_4,True,,1,idle,,13,sad2,,15,idle,,3,idle,,5,idle,,S_10,1,1.0,,,,
event_lastkingdom2_01_s_5,40046,event_lastkingdom2_01_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_01_s_5,True,,1,idle,,13,sad2,,15,idle,,3,idle,,5,idle,,1,113,1.0,,,,
event_lastkingdom2_01_s_6,40046,event_lastkingdom2_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_01_s_6,True,,1,idle,,13,sad2,,15,idle,,3,idle,,5,idle,,113,113,1.0,,,,
event_lastkingdom2_01_s_7,40046,event_lastkingdom2_01_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_01_s_7,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,113,113,1.0,,,,
event_lastkingdom2_01_s_8,40046,event_lastkingdom2_01_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_01_s_8,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,113,113,1.0,,,,
event_lastkingdom2_01_s_9,40046,event_lastkingdom2_01_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_01_s_9,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,113,113,1.0,,,,
event_lastkingdom2_01_s_10,40046,event_lastkingdom2_01_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_01_s_10,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,113,113,1.0,,,,
event_lastkingdom2_01_s_11,40046,event_lastkingdom2_01_s,Narration,marian_q,,Locale_MainScenario:event_lastkingdom2_01_s_11,False,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,black,black,1.0,,,,
event_lastkingdom2_01_s_12,40046,event_lastkingdom2_01_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_01_s_12,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,15,150,1.0,,,,
event_lastkingdom2_01_s_13,40046,event_lastkingdom2_01_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_01_s_13,True,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,150,150,1.0,,,,
