id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,play_sound,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,fade
d_main_20_08_e_1,d_main_20_08_e,Speech,papillon,papillon,Locale_MainScenario:d_main_20_08_e_1,True,papillon,12,surprise,neon,14,idle,rapi,16,idle,anis,18,idle,Volcano_01,12,12,1.0,bgm_volcanicnest_b,,,,,,,,,,
d_main_20_08_e_2,d_main_20_08_e,Speech,papillon,papillon,Locale_MainScenario:d_main_20_08_e_2,True,,12,surprise,,14,idle,,16,idle,,18,idle,,12,12,1.0,,,,,,,,,,,
d_main_20_08_e_3,d_main_20_08_e,Speech,rapi,rapi,Locale_MainScenario:d_main_20_08_e_3,True,,12,surprise,,14,idle,,16,angry,,18,idle,,12,15,0.5,,,,,,,,,,,
d_main_20_08_e_4,d_main_20_08_e,Speech,neon,neon,Locale_MainScenario:d_main_20_08_e_4,True,,12,idle,,14,angry,,16,angry,,18,idle,,15,15,1.0,,,,,,,,,,,
d_main_20_08_e_5,d_main_20_08_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_20_08_e_5,True,,12,idle,,14,angry,,16,idle,,18,idle,,3,3,1.0,,nihilister,3,angry,,,,,,,
d_main_20_08_e_6,d_main_20_08_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_20_08_e_6,True,,12,idle,,14,idle,,16,idle,,18,idle,,3,3,1.0,,,3,angry,,,,,,,
d_main_20_08_e_7,d_main_20_08_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_20_08_e_7,True,,12,idle,,14,idle,,16,idle,,18,idle,,3,3,1.0,,,3,angry,,,,,,,
d_main_20_08_e_8,d_main_20_08_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_20_08_e_8,True,,12,idle,,14,idle,,16,idle,,18,idle,,3,3,1.0,,,3,angry2,,,,,,,
d_main_20_08_e_9,d_main_20_08_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_20_08_e_9,True,,12,idle,,14,idle,,16,idle,,18,idle,,3,30,1.0,,,3,smile,,,,,,,
d_main_20_08_e_10,d_main_20_08_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_20_08_e_10,True,,12,idle,,14,idle,,16,idle,,18,idle,,30,30,1.0,,,3,smile,,,,,,,
