id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,conversation_id
d_subquest_1032_1,d_subquest_1032,Speech,anis,anis,Locale_SubScenario:d_subquest_1032_1,True,anis,3,void,rapi,1,idle,neon,13,idle,WasteLand_03,30,30,1.0,bgm_story_fairytalesend_if,,
d_subquest_1032_2,d_subquest_1032,Self,anis,,Locale_SubScenario:d_subquest_1032_2,False,,3,void,,1,idle,,13,idle,,30,30,1.0,,,
d_subquest_1032_3,d_subquest_1032,Speech,anis,anis,Locale_SubScenario:d_subquest_1032_3,True,,3,void,,1,idle,,13,idle,,30,30,1.0,,,
d_subquest_1032_4,d_subquest_1032,Speech,anis,anis,Locale_SubScenario:d_subquest_1032_4,True,,3,void,,1,idle,,13,idle,,30,30,1.0,,,
d_subquest_1032_5,d_subquest_1032,Speech,neon,neon,Locale_SubScenario:d_subquest_1032_5,True,,3,void,,1,idle,,13,surprise,,S_130,S_130,1.0,,,
d_subquest_1032_6,d_subquest_1032,Speech,anis,anis,Locale_SubScenario:d_subquest_1032_6,True,,3,idle,,1,idle,,13,surprise,,S_130,30,2.0,,,
d_subquest_1032_7,d_subquest_1032,Self,anis,,Locale_SubScenario:d_subquest_1032_7,False,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,
d_subquest_1032_8,d_subquest_1032,Choice,anis,,Locale_SubScenario:d_subquest_1032_8,False,,3,idle,,1,idle,,13,idle,,30,30,1.0,,d_subquest_1032_10,
d_subquest_1032_9,d_subquest_1032,Choice,anis,,Locale_SubScenario:d_subquest_1032_9,False,,3,idle,,1,idle,,13,idle,,30,30,1.0,,d_subquest_1032_18,
d_subquest_1032_10,d_subquest_1032,Speech,anis,anis,Locale_SubScenario:d_subquest_1032_10,True,,3,no,,1,idle,,13,worry,,30,2,2.0,,,
d_subquest_1032_11,d_subquest_1032,Speech,neon,neon,Locale_SubScenario:d_subquest_1032_11,True,,3,no,,1,idle,,13,worry,,2,12,1.0,,,
d_subquest_1032_12,d_subquest_1032,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1032_12,True,,3,no,,1,idle,,13,worry,,12,12,1.0,,,
d_subquest_1032_13,d_subquest_1032,Speech,anis,anis,Locale_SubScenario:d_subquest_1032_13,True,,3,sad,,1,idle,,13,worry,,30,30,1.0,,,
d_subquest_1032_14,d_subquest_1032,Speech,neon,neon,Locale_SubScenario:d_subquest_1032_14,True,,3,sad,,1,idle,,13,surprise,,S_130,S_130,1.0,,,
d_subquest_1032_15,d_subquest_1032,Speech,anis,anis,Locale_SubScenario:d_subquest_1032_15,True,,3,worry,,1,idle,,13,surprise,,30,30,1.0,,,
d_subquest_1032_16,d_subquest_1032,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1032_16,True,,3,void,,1,idle,,13,idle,,30,10,2.0,,,
d_subquest_1032_17,d_subquest_1032,Self,rapi,,Locale_SubScenario:d_subquest_1032_17,False,,3,void,,1,idle,,13,idle,,10,10,1.0,,d_subquest_1032_18,
d_subquest_1032_18,d_subquest_1032,Speech,anis,anis,Locale_SubScenario:d_subquest_1032_18,True,,3,angry,,1,idle,,13,idle,,30,30,1.0,,,
d_subquest_1032_19,d_subquest_1032,Speech,anis,anis,Locale_SubScenario:d_subquest_1032_19,True,,3,angry,,1,idle,,13,idle,,30,30,1.0,,,
d_subquest_1032_20,d_subquest_1032,Monologue,anis,,Locale_SubScenario:d_subquest_1032_20,False,,3,angry,,1,idle,,13,idle,,black,black,1.0,,,
d_subquest_1032_21,d_subquest_1032,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1032_21,True,,3,void,,1,think,,13,idle,,2,2,1.0,,,
d_subquest_1032_22,d_subquest_1032,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1032_22,True,,3,void,,1,idle,,13,idle,,2,2,1.0,,,
d_subquest_1032_23,d_subquest_1032,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1032_23,True,,3,void,,1,idle,,13,idle,,2,2,1.0,,,
d_subquest_1032_24,d_subquest_1032,Speech,anis,anis,Locale_SubScenario:d_subquest_1032_24,True,,3,void,,1,idle,,13,idle,,2,2,1.0,,,
d_subquest_1032_25,d_subquest_1032,Speech,neon,neon,Locale_SubScenario:d_subquest_1032_25,True,,3,void,,1,idle,,13,idle,,2,12,2.0,,,
d_subquest_1032_26,d_subquest_1032,Speech,anis,anis,Locale_SubScenario:d_subquest_1032_26,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,
d_subquest_1032_27,d_subquest_1032,Self,anis,,Locale_SubScenario:d_subquest_1032_27,False,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,m_subquest_1032
d_subquest_1032_28,d_subquest_1032,Self,anis,,Locale_SubScenario:d_subquest_1032_28,False,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,
d_subquest_1032_29,d_subquest_1032,Speech,anis,anis,Locale_SubScenario:d_subquest_1032_29,True,,3,delight,,1,idle,,13,idle,,30,30,1.0,,,
d_subquest_1032_30,d_subquest_1032,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1032_30,True,,3,idle,,1,idle,,13,idle,,30,10,2.0,,,
